id,name,description,price,image,category_id,published_date
1,PHIN ĐEN ĐÁ,"Dành cho những tín đồ cà phê đích thực! Hương vị cà phê truyền thống được phối trộn độc đáo tại Highlands. Cà phê đậm đà pha hoàn toàn từ Phin, cho thêm 1 thìa đường, một ít đá viên mát lạnh, tạo nên Phin Đen Đá mang vị cà phê đậm đà chất Phin.",29000,images/products/HLC_New_logo_5.1_Products__PHIN_DEN_DA.jpg,1,2024-12-02 15:05:43.066442
2,MOCHA MACCHIATO,"Một thức uống yêu thích được kết hợp bởi giữa sốt sô cô la ngọt ngào, sữa tươi và đặc biệt là cà phê espresso đậm đà mang thương hiệu Highlands Coffee. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",69000,images/products/HLC_New_logo_5.1_Products__MOCHA.jpg,1,2024-12-02 15:05:43.066442
3,LATTE,"Ly cà phê sữa ngọt ngào đến khó quên! Với một chút nhẹ nhàng hơn so với Cappuccino, Latte của chúng tôi bắt đầu với cà phê espresso, sau đó thêm sữa tươi và bọt sữa một cách đầy nghệ thuật. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",65000,images/products/HLC_New_logo_5.1_Products__LATTE_1.jpg,1,2024-12-02 15:05:43.066442
4,CAPPUCCINO,"Ly cà phê sữa đậm đà thời thượng! Một chút đậm đà hơn so với Latte, Cappuccino của chúng tôi bắt đầu với cà phê espresso, sau đó thêm một lượng tương đương giữa sữa tươi và bọt sữa cho thật hấp dẫn. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.",65000,images/products/HLC_New_logo_5.1_Products__CAPPUCINO.jpg,1,2024-12-02 15:05:43.066442
5,AMERICANO,Americano tại Highlands Coffee là sự kết hợp giữa cà phê espresso thêm vào nước đun sôi. Bạn có thể tùy thích lựa chọn uống nóng hoặc dùng chung với đá.,45000,images/products/HLC_New_logo_5.1_Products__AMERICANO_NONG.jpg,1,2024-12-02 15:05:43.066442
6,ESPRESSO,Đích thực là ly cà phê espresso ngon đậm đà! Được chiết xuất một cách hoàn hảo từ loại cà phê rang được phối trộn độc đáo từ những hạt cà phê Robusta và Arabica chất lượng hảo hạng.,45000,images/products/HLC_New_logo_5.1_Products__EXPRESSO.jpg,1,2024-12-02 15:05:43.066442
7,PHIN SỮA ĐÁ,"Hương vị cà phê Việt Nam đích thực! Từng hạt cà phê hảo hạng được chọn bằng tay, phối trộn độc đáo giữa hạt Robusta từ cao nguyên Việt Nam, thêm Arabica thơm lừng. Cà phê được pha từ Phin truyền thống, hoà cùng sữa đặc sánh và thêm vào chút đá tạo nên ly Phin Sữa Đá – Đậm Đà Chất Phin.",29000,images/products/HLC_New_logo_5.1_Products__PHIN_SUADA.jpg,1,2024-12-02 15:05:43.066442
8,PHIN ĐEN NÓNG,"Dành cho những tín đồ cà phê đích thực! Hương vị cà phê truyền thống được phối trộn độc đáo tại Highlands. Cà phê đậm đà pha từ Phin, cho thêm 1 thìa đường, mang đến vị cà phê đậm đà chất Phin.",29000,images/products/HLC_PHIN_DEN_NONG.jpg,1,2024-12-02 15:05:43.066442
9,PHIN SỮA NÓNG,"Hương vị cà phê Việt Nam đích thực! Từng hạt cà phê hảo hạng được chọn bằng tay, phối trộn độc đáo giữa hạt Robusta từ cao nguyên Việt Nam, thêm Arabica thơm lừng. Kết hợp với nước sôi từng giọt cà phê được chiết xuất từ Phin truyền thống, hoà cùng sữa đặc sánh tạo nên ly Phin Sữa Nóng – Đậm đà chất Phin.",29000,images/products/HLC__PHIN_SUA_NONG.jpg,1,2024-12-02 15:05:43.066442
10,PHINDI CASSIA,"Với chất phin êm ái, hương vị cà phê Việt Nam hiện đại kết hợp cùng hương quế nhẹ nhàng và thạch cà phê hấp dẫn.",55000,images/products/Phindi_Cassia_Highlands_products_Image1.jpg,1,2024-12-02 15:05:43.066442
11,PHINDI CHOCO,"PhinDi Choco - Cà phê Phin thế hệ mới với chất Phin êm hơn, kết hợp cùng Choco ngọt tan mang đến hương vị mới lạ, không thể hấp dẫn hơn!",45000,images/products/HLC_New_logo_5.1_Products__PHINDI_CHOCO.jpg,1,2024-12-02 15:05:43.066442
12,PHINDI HẠNH NHÂN,"PhinDi Hạnh Nhân - Cà phê Phin thế hệ mới với chất Phin êm hơn, kết hợp cùng Hạnh nhân thơm bùi mang đến hương vị mới lạ, không thể hấp dẫn hơn!",45000,images/products/HLC_New_logo_5.1_Products__PHINDI_HANH_NHAN.jpg,1,2024-12-02 15:05:43.066442
13,PHINDI KEM SỮA,"PhinDi Kem Sữa - Cà phê Phin thế hệ mới với chất Phin êm hơn, kết hợp cùng Kem Sữa béo ngậy mang đến hương vị mới lạ, không thể hấp dẫn hơn!",45000,images/products/HLC_New_logo_5.1_Products__PHINDI_KEM_SUA.jpg,1,2024-12-02 15:05:43.066442
14,BẠC XỈU ĐÁ,"Nếu Phin Sữa Đá dành cho các bạn đam mê vị đậm đà, thì Bạc Xỉu Đá là một sự lựa chọn nhẹ “đô"" cà phê nhưng vẫn thơm ngon, chất lừ không kém!",29000,images/products/HLC_New_logo_5.1_Products__BAC_XIU.jpg,1,2024-12-02 15:05:43.066442
